nazwa_produktu,cena_gospodarstwa,cena_detaliczna_atlanta,cena_detaliczna_chicago,cena_detaliczna_los_angeles,cena_detaliczna_nowy_jork,srednia_marza
Strawberries,0.19607843137254904,2.12,2.62,2.74,2.99,197.44%
Strawberries,0.20448179271708689,2.12,2.25,2.62,2.99,174.18%
Strawberries,0.19607843137254904,2.24,2.32,1.97,2.96,169.60%
Strawberries,0.22128851540616246,2.24,2.29,2.62,2.71,154.12%
Strawberries,0.25490196078431376,2.06,2.22,2.5,2.74,118.35%
Strawberries,0.2661064425770308,2.12,1.99,2.13,2.61,95.80%
Strawberries,0.24649859943977592,2.19,2.49,2.5,2.86,136.79%
Strawberries,0.2296918767507003,2.12,2.33,2.5,2.32,131.75%
Strawberries,0.22128851540616246,2.19,2.16,2.5,2.99,153.61%
Strawberries,0.22128851540616246,2.04,2.62,2.12,2.61,142.01%
Strawberries,0.2661064425770308,2.12,2.25,2.5,2.99,118.14%
Strawberries,0.28291316526610644,2.24,2.38,2.25,2.74,101.89%
Strawberries,0.23529411764705882,2.12,2.29,1.83,2.15,105.64%
Strawberries,0.16526610644257705,2.12,2.29,2.62,2.74,217.21%
Strawberries,0.18207282913165262,2.0,1.99,1.75,2.74,155.42%
Strawberries,0.17086834733893558,2.29,2.08,2.5,2.74,204.11%
Strawberries,0.17366946778711484,2.64,1.95,2.25,2.54,193.13%
Strawberries,0.17647058823529416,2.49,2.49,2.12,2.62,200.00%
Strawberries,0.2296918767507003,2.37,2.37,2.37,2.37,137.00%
Strawberries,0.3697478991596639,2.46,3.16,3.37,3.24,103.83%
Strawberries,0.42296918767507,2.26,3.16,3.0,3.12,70.71%
Strawberries,0.42296918767507,2.26,2.31,2.62,2.74,46.89%
Strawberries,0.4145658263305322,2.26,2.74,3.37,2.74,67.32%
Strawberries,0.4061624649859944,2.34,2.83,2.87,3.24,73.01%
Strawberries,0.3697478991596639,2.34,2.38,3.16,2.24,68.67%
Strawberries,0.3697478991596639,2.49,2.55,2.62,2.49,69.17%
Strawberries,0.3361344537815126,2.87,2.91,1.97,2.75,90.22%
Strawberries,0.21288515406162467,2.87,2.13,2.99,2.75,185.64%
Strawberries,0.3697478991596639,2.88,2.5,2.99,3.37,95.67%
Strawberries,0.4397759103641457,2.96,2.57,3.0,3.62,73.57%
Strawberries,0.5462184873949579,3.21,3.44,3.62,3.74,64.44%
Strawberries,0.6862745098039215,3.66,3.44,4.12,5.24,56.46%
Strawberries,0.7563025210084033,3.74,3.43,3.99,5.24,42.36%
Strawberries,0.7563025210084033,4.09,3.92,3.99,5.49,51.82%
